Region,Basin,mean dH,smooth dH,Dates,dates
All,All,0.0,0.005,1995,1995-05-29 23:59:59.999999
All,All,0.0484,0.005,1995,1995-10-17 00:00:00.000002
All,All,-0.0419,0.0052,1996,1996-03-04 23:48:09.863014
All,All,0.0004,0.006,1996,1996-07-23 00:00:00.000000
All,All,0.0008,0.0073,1996,1996-12-10 01:34:41.095893
All,All,-0.0054,0.0092,1997,1997-04-29 00:00:00.000002
All,All,0.0687,0.0112,1997,1997-09-15 23:59:59.999998
All,All,-0.0268,0.013,1998,1998-02-03 00:00:00.000002
All,All,0.0246,0.0146,1998,1998-06-22 23:59:59.999998
All,All,0.0424,0.0159,1998,1998-11-10 00:00:00.000001
All,All,-0.0246,0.0171,1999,1999-03-29 23:59:59.999997
All,All,0.0436,0.0183,1999,1999-08-17 00:00:00.000000
All,All,0.0021,0.0196,2000,2000-01-03 21:47:50.136984
All,All,0.0105,0.0209,2000,2000-05-22 23:59:59.999998
All,All,0.0671,0.0218,2000,2000-10-09 23:59:59.999999
All,All,0.0016,0.0224,2001,2001-02-27 00:25:34.426228
All,All,0.0251,0.0225,2001,2001-07-17 00:00:00.000003
All,All,0.0206,0.0223,2001,2001-12-03 23:59:59.999999
All,All,0.0318,0.0219,2002,2002-04-23 00:00:00.000003
All,All,0.0163,0.0215,2002,2002-09-09 23:59:59.999999
All,All,-0.0057,0.0211,2003,2003-01-28 00:00:00.000002
All,All,0.055,0.0207,2003,2003-06-16 23:59:59.999998
All,All,0.0242,0.0203,2003,2003-11-03 23:36:23.606560
All,All,0.0006,0.0203,2004,2004-03-23 00:00:00.000003
All,All,0.0338,0.0208,2004,2004-08-10 00:00:00.000003
All,All,-0.0077,0.022,2004,2004-12-28 02:10:11.506853
All,All,0.0129,0.0239,2005,2005-05-17 00:00:00.000001
All,All,0.0495,0.0263,2005,2005-10-03 23:59:59.999997
All,All,0.0146,0.0285,2006,2006-02-21 00:00:00.000000
All,All,0.0579,0.0301,2006,2006-07-10 23:59:59.999996
All,All,0.0304,0.0309,2006,2006-11-28 00:00:00.000000
All,All,0.0247,0.0305,2007,2007-04-17 00:00:00.000003
All,All,0.0626,0.0292,2007,2007-09-03 23:59:59.999999
All,All,-0.0021,0.0274,2008,2008-01-21 22:23:20.547944
All,All,0.0326,0.0255,2008,2008-06-10 00:00:00.000001
All,All,0.0346,0.0239,2008,2008-10-28 00:09:51.780823
All,All,-0.008,0.0232,2009,2009-03-16 23:59:59.999999
All,All,0.0343,0.0237,2009,2009-08-04 00:00:00.000002
All,All,0.0005,0.0253,2009,2009-12-21 23:59:59.999998
All,All,0.0257,0.0278,2010,2010-05-11 00:00:00.000001
All,All,0.0343,0.0308,2010,2010-09-27 23:59:59.999998
All,All,0.039,0.0334,2011,2011-02-15 00:00:00.000001
All,All,0.054,0.0352,2011,2011-07-04 23:59:59.999997
All,All,0.0463,0.0355,2011,2011-11-21 23:00:59.016390
All,All,0.0353,0.0342,2012,2012-04-09 23:59:59.999999
All,All,0.0469,0.0314,2012,2012-08-27 23:59:59.999999
All,All,0.0198,0.0273,2013,2013-01-15 01:50:09.836063
All,All,0.0276,0.0222,2013,2013-06-04 00:00:00.000000
All,All,0.0261,0.0163,2013,2013-10-22 00:00:00.000003
All,All,0.0011,0.0101,2014,2014-03-10 23:59:59.999999
