year,season_year,month,thickness
2010,2010,November,1.3461045
2010,2010,December,1.4063075
2011,2010,January,1.6025963
2011,2010,February,1.7926761
2011,2010,March,1.9697666
2011,2010,April,2.0430772
2011,2011,October,1.0655588
2011,2011,November,1.2020233
2011,2011,December,1.3243896
2012,2011,January,1.5255489
2012,2011,February,1.7046297
2012,2011,March,1.8679627
2012,2011,April,1.9595809
2012,2012,October,1.1599066
2012,2012,November,1.2923855
2012,2012,December,1.3694656
2013,2012,January,1.4948634
2013,2012,February,1.586234
2013,2012,March,1.8260732
2013,2012,April,1.8982285
2013,2013,October,1.4288982
2013,2013,November,1.528079
2013,2013,December,1.6165849
2014,2013,January,1.7835858
2014,2013,February,1.9448854
2014,2013,March,2.0955894
2014,2013,April,2.1214626
2014,2014,October,1.3494166
2014,2014,November,1.506556
2014,2014,December,1.5831304
2015,2014,January,1.7225585
2015,2014,February,1.8906057
2015,2014,March,2.061633
2015,2014,April,2.1493635
2015,2015,October,1.2392282
2015,2015,November,1.3999645
2015,2015,December,1.459234
2016,2015,January,1.601532
2016,2015,February,1.7647698
2016,2015,March,1.8986973
2016,2015,April,1.9799131
2016,2016,October,1.4097545
2016,2016,November,1.4287428
2016,2016,December,1.5316253
2017,2016,January,1.6541702
2017,2016,February,1.7738554
2017,2016,March,1.9240766
2017,2016,April,1.9390985
2017,2017,October,1.3848807
2017,2017,November,1.4612316
2017,2017,December,1.4914957
2018,2017,January,1.622464
2018,2017,February,1.8041928
2018,2017,March,1.8996605
2018,2017,April,1.9692296
2018,2018,October,1.5329165
2018,2018,November,1.5172663
2018,2018,December,1.5380106
2019,2018,January,1.6039225
2019,2018,February,1.812513
2019,2018,March,2.006612
2019,2018,April,2.1057177
2019,2019,October,1.3446252
2019,2019,November,1.3670498
2019,2019,December,1.3771708
2020,2019,January,1.4873468
2020,2019,February,1.6687177
2020,2019,March,1.8808163
2020,2019,April,2.0440798
2020,2020,October,1.184391
2020,2020,November,1.2698666
2020,2020,December,1.3650644
2021,2020,January,1.5148015
2021,2020,February,1.616634
2021,2020,March,1.7990537
2021,2020,April,1.8974277
2021,2021,October,1.198839
2021,2021,November,1.3438742
2021,2021,December,1.4518967
2022,2021,January,1.6109046
2022,2021,February,1.772661
2022,2021,March,2.0044763
2022,2021,April,2.0308788
2022,2022,October,1.1627699
2022,2022,November,1.3136244
2022,2022,December,1.4759964
2023,2022,January,1.5925632
2023,2022,February,1.726844
2023,2022,March,1.896392
2023,2022,April,1.9329616
2023,2023,October,1.1624994
2023,2023,November,1.3054351
2023,2023,December,1.4183728
2024,2023,January,1.5458659
2024,2023,February,1.7158655
2024,2023,March,1.8519711
2024,2023,April,1.9305222
