year,season_year,month,region,thickness
2010,2010,November,Arctic,1.3461045
2010,2010,December,Arctic,1.4063075
2011,2010,January,Arctic,1.6025963
2011,2010,February,Arctic,1.7926761
2011,2010,March,Arctic,1.9697666
2011,2010,April,Arctic,2.0430772
2011,2011,October,Arctic,1.0655588
2011,2011,November,Arctic,1.2020233
2011,2011,December,Arctic,1.3243896
2012,2011,January,Arctic,1.5255489
2012,2011,February,Arctic,1.7046297
2012,2011,March,Arctic,1.8679627
2012,2011,April,Arctic,1.9595809
2012,2012,October,Arctic,1.1599066
2012,2012,November,Arctic,1.2923855
2012,2012,December,Arctic,1.3694656
2013,2012,January,Arctic,1.4948634
2013,2012,February,Arctic,1.586234
2013,2012,March,Arctic,1.8260732
2013,2012,April,Arctic,1.8982285
2013,2013,October,Arctic,1.4288982
2013,2013,November,Arctic,1.528079
2013,2013,December,Arctic,1.6165849
2014,2013,January,Arctic,1.7835858
2014,2013,February,Arctic,1.9448854
2014,2013,March,Arctic,2.0955894
2014,2013,April,Arctic,2.1214626
2014,2014,October,Arctic,1.3494166
2014,2014,November,Arctic,1.506556
2014,2014,December,Arctic,1.5831304
2015,2014,January,Arctic,1.7225585
2015,2014,February,Arctic,1.8906057
2015,2014,March,Arctic,2.061633
2015,2014,April,Arctic,2.1493635
2015,2015,October,Arctic,1.2392282
2015,2015,November,Arctic,1.3999645
2015,2015,December,Arctic,1.459234
2016,2015,January,Arctic,1.601532
2016,2015,February,Arctic,1.7647698
2016,2015,March,Arctic,1.8986973
2016,2015,April,Arctic,1.9799131
2016,2016,October,Arctic,1.4097545
2016,2016,November,Arctic,1.4287428
2016,2016,December,Arctic,1.5316253
2017,2016,January,Arctic,1.6541702
2017,2016,February,Arctic,1.7738554
2017,2016,March,Arctic,1.9240766
2017,2016,April,Arctic,1.9390985
2017,2017,October,Arctic,1.3848807
2017,2017,November,Arctic,1.4612316
2017,2017,December,Arctic,1.4914957
2018,2017,January,Arctic,1.622464
2018,2017,February,Arctic,1.8041928
2018,2017,March,Arctic,1.8996605
2018,2017,April,Arctic,1.9692296
2018,2018,October,Arctic,1.5329165
2018,2018,November,Arctic,1.5172663
2018,2018,December,Arctic,1.5380106
2019,2018,January,Arctic,1.6039225
2019,2018,February,Arctic,1.812513
2019,2018,March,Arctic,2.006612
2019,2018,April,Arctic,2.1057177
2019,2019,October,Arctic,1.3446252
2019,2019,November,Arctic,1.3670498
2019,2019,December,Arctic,1.3771708
2020,2019,January,Arctic,1.4873468
2020,2019,February,Arctic,1.6687177
2020,2019,March,Arctic,1.8808163
2020,2019,April,Arctic,2.0440798
2020,2020,October,Arctic,1.184391
2020,2020,November,Arctic,1.2698666
2020,2020,December,Arctic,1.3650644
2021,2020,January,Arctic,1.5148015
2021,2020,February,Arctic,1.616634
2021,2020,March,Arctic,1.7990537
2021,2020,April,Arctic,1.8974277
2021,2021,October,Arctic,1.198839
2021,2021,November,Arctic,1.3438742
2021,2021,December,Arctic,1.4518967
2022,2021,January,Arctic,1.6109046
2022,2021,February,Arctic,1.772661
2022,2021,March,Arctic,2.0044763
2022,2021,April,Arctic,2.0308788
2022,2022,October,Arctic,1.1627699
2022,2022,November,Arctic,1.3136244
2022,2022,December,Arctic,1.4759964
2023,2022,January,Arctic,1.5925632
2023,2022,February,Arctic,1.726844
2023,2022,March,Arctic,1.896392
2023,2022,April,Arctic,1.9329616
2023,2023,October,Arctic,1.1624994
2023,2023,November,Arctic,1.3054351
2023,2023,December,Arctic,1.4183728
2024,2023,January,Arctic,1.5458659
2024,2023,February,Arctic,1.7158655
2024,2023,March,Arctic,1.8519711
2024,2023,April,Arctic,1.9305222
