period,midpoint,Raw SEC,Smooth SEC,dH,Subregion
1991/07 - 1996/07,1994-01-28 12:02:43.476562,-0.008,-0.008,0.0,CE
1991/08 - 1996/08,1994-02-28 12:15:01.757812,-0.008,-0.008,-0.007654211483895779,CE
1991/09 - 1996/09,1994-03-31 12:55:09.960938,-0.008,-0.008,-0.015308422967791557,CE
1991/10 - 1996/10,1994-04-30 13:01:56.015625,-0.008,-0.006,-0.022962634451687336,CE
1991/11 - 1996/11,1994-05-31 13:14:14.296875,-0.008,-0.005,-0.030616845935583115,CE
1991/12 - 1996/12,1994-06-30 12:48:50.273438,0.0,-0.003,-0.03436366306414129,CE
1992/01 - 1997/01,1994-07-31 13:01:08.554688,0.0,-0.001,-0.03420308583736187,CE
1992/02 - 1997/02,1994-08-30 01:22:08.906250,0.0,0.003,-0.034042508610582445,CE
1992/03 - 1997/03,1994-09-29 00:56:44.882812,0.0,0.004,-0.03388193138380302,CE
1992/04 - 1997/04,1994-10-30 00:09:03.164062,0.012,0.006,-0.027611853613052517,CE
1992/05 - 1997/05,1994-11-28 23:43:39.140625,0.009,0.008,-0.01717094104969874,CE
1992/06 - 1997/06,1994-12-29 23:55:57.421875,0.009,0.009,-0.00866869423771277,CE
1992/07 - 1997/07,1995-01-29 00:02:43.476562,0.009,0.009,-0.00016644742572680116,CE
1992/08 - 1997/08,1995-03-01 00:15:01.757812,0.009,0.009,0.008335799386259168,CE
1992/09 - 1997/09,1995-04-01 00:55:09.960938,0.01,0.01,0.017692284134682268,CE
1992/10 - 1997/10,1995-05-01 01:01:56.015625,0.01,0.01,0.027903006819542497,CE
1992/11 - 1997/11,1995-06-01 01:14:14.296875,0.01,0.01,0.03811372950440273,CE
1992/12 - 1997/12,1995-07-01 00:48:50.273438,0.01,0.015,0.048324452189262956,CE
1993/01 - 1998/01,1995-08-01 01:08:15.703125,0.01,0.02,0.058535174874123186,CE
1993/02 - 1998/02,1995-08-30 01:16:31.406250,0.034,0.024,0.08062139473622665,CE
1993/03 - 1998/03,1995-09-29 00:56:18.515625,0.034,0.029,0.11458311177557334,CE
1993/04 - 1998/04,1995-10-30 00:11:46.640625,0.034,0.044,0.14854482881492004,CE
1993/05 - 1998/05,1995-11-28 23:51:33.750000,0.034,0.054,0.18250654585426673,CE
1993/06 - 1998/06,1995-12-30 00:07:01.875000,0.085,0.064,0.24187463655835018,CE
1993/07 - 1998/07,1996-01-28 23:46:48.984375,0.085,0.075,0.32664910092717037,CE
1993/08 - 1998/08,1996-02-29 00:02:17.109375,0.085,0.085,0.41142356529599056,CE
1993/09 - 1998/09,1996-03-31 00:17:45.234375,0.085,0.086,0.49619802966481075,CE
1993/10 - 1998/10,1996-04-30 00:57:32.343750,0.085,0.087,0.5809724940336309,CE
1993/11 - 1998/11,1996-05-31 01:13:00.468750,0.09,0.088,0.6684856949723326,CE
1993/12 - 1998/12,1996-06-30 00:52:47.578125,0.09,0.089,0.7587376324809156,CE
1994/01 - 1999/01,1996-07-31 01:08:15.703125,0.09,0.09,0.8489895699894987,CE
1994/02 - 1999/02,1996-08-29 01:16:31.406250,0.09,0.088,0.9392415074980818,CE
1994/03 - 1999/03,1996-09-28 00:56:18.515625,0.09,0.086,1.0294934450066648,CE
1994/04 - 1999/04,1996-10-29 00:11:46.640625,0.08,0.084,1.1143811768270098,CE
1994/05 - 1999/05,1996-11-27 23:51:33.750000,0.08,0.082,1.1939047029591165,CE
1994/06 - 1999/06,1996-12-29 00:07:01.875000,0.08,0.078,1.2734282290912233,CE
1994/07 - 1999/07,1997-01-27 23:46:48.984375,0.08,0.076,1.35295175522333,CE
1994/08 - 1999/08,1997-02-28 00:02:17.109375,0.07,0.074,1.427941506204661,CE
1994/09 - 1999/09,1997-03-31 01:17:45.234375,0.07,0.072,1.498397482035216,CE
1994/10 - 1999/10,1997-04-30 00:57:32.343750,0.07,0.07,1.568853457865771,CE
1994/11 - 1999/11,1997-05-31 01:13:00.468750,0.07,0.071,1.6393094336963259,CE
1994/12 - 1999/12,1997-06-30 00:52:47.578125,0.07,0.071,1.7097654095268808,CE
1995/01 - 2000/01,1997-07-31 01:01:08.554688,0.072,0.071,1.7807600027299486,CE
1995/02 - 2000/02,1997-08-29 01:02:17.109375,0.072,0.071,1.8522932133055292,CE
1995/03 - 2000/03,1997-09-28 12:56:44.882812,0.072,0.071,1.9238264238811098,CE
